Brand,Perfume Name,Gender,Scent Profile,Occasion,Main 3 Notes,Personality / Mood
DIOR,J'adore EDP,Women,"Floral, Fruity, Elegant",Special Events,"Jasmine, Ylang-Ylang, Pear","Glamorous, confident, loves luxury and elegance"
DIOR,Miss Dior EDP (2021),Women,"Floral, Fresh, Soft","Romantic, Daily","Peony, Rose, Musk","Romantic, sweet, soft-hearted, artistic"
DIOR,Miss Dior Blooming Bouquet,Women,"Fresh, Floral, Light","Spring, Daytime","Peony, Rose, White Musk","Cheerful, youthful, playful, optimistic"
DIOR,Poison Girl EDP,Women,"Sweet, Amber, Gourmand","Night Out, Parties","Vanilla, Bitter Orange, Tonka Bean","Bold, fun-loving, rebellious, energetic"
DIOR,Hypnotic Poison EDP,Women,"Sweet, Warm, Vanilla","Winter, Evening","Almond, Vanilla, Jasmine","Mysterious, sensual, introverted but intense"
DIOR,Dior Addict EDP,Women,"Warm, Floral, Oriental","Evening, Glamorous","Vanilla, Tonka Bean, Jasmine","Powerful, dramatic, expressive, loves attention"
DIOR,Pure Poison EDP,Women,"Floral, Musky, Fresh","Intimate, Travel","Orange Blossom, Jasmine, Sandalwood","Calm, elegant, emotionally intelligent"
DIOR,JOY by Dior EDP Intense,Women,"Floral, Citrus, Woody",Celebrations,"Neroli, Grasse Rose, Sandalwood","Radiant, happy, nurturing, loves positivity"
DIOR,Dune EDT,Women,"Floral, Woody, Marine","Formal, Work","Peony, Lily, Sandalwood","Grounded, thoughtful, tranquil, nature-lover"
DIOR,Dolce Vita EDT,Women,"Spicy, Woody, Sweet","Casual, Daytime","Cinnamon, Peach, Sandalwood","Joyful, nostalgic, full of life and stories"
DIOR,Sauvage EDT,Men,"Fresh, Spicy, Aromatic","Everyday, Casual","Bergamot, Pepper, Ambroxan","Adventurous, modern, bold, free-spirited"
DIOR,Sauvage Elixir,Men,"Spicy, Woody, Bold","Evening, Special","Cinnamon, Nutmeg, Sandalwood","Intense, daring, alpha personality, loves to lead"
DIOR,Fahrenheit EDT,Men,"Leathery, Woody, Warm","Night, Winter","Leather, Violet, Nutmeg","Deep thinker, rebellious, classic with a twist"
DIOR,Dior Homme Intense,Men,"Powdery, Floral, Woody","Date, Formal","Iris, Amber, Vetiver","Sophisticated, artistic, sensitive yet strong"
DIOR,Dior Homme Sport,Men,"Fresh, Citrusy, Spicy","Daytime, Summer","Grapefruit, Pink Pepper, Vetiver","Energetic, competitive, health-conscious"
DIOR,Eau Sauvage EDT,Men,"Citrus, Aromatic, Classic","Daytime, Office","Lemon, Basil, Oakmoss","Polished, respectful, traditional yet charming"
DIOR,Gris Dior,Unisex,"Chypre, Floral, Musky","Elegant, Anytime","Rose, Oakmoss, Patchouli","Sophisticated, creative, minimalistic, gender-fluid elegance"
DIOR,Oud Ispahan,Unisex,"Oud, Rose, Spicy","Evening, Formal","Oud, Rose, Labdanum","Mysterious, luxurious, bold, culturally refined"
DIOR,Bois d Argent,Unisex,"Powdery, Musky, Woody","Elegant, Soft Days","Iris, Incense, Musk","Intellectual, poetic, quiet confidence"
DIOR,F ve D licieuse,Unisex,"Gourmand, Sweet, Warm","Night, Winter","Tonka Bean, Vanilla, Caramel","Indulgent, cozy, sweet-natured, emotional"
DIOR,Ambre Nuit,Unisex,"Amber, Floral, Warm","Autumn, Evening","Amber, Turkish Rose, Pink Pepper","Introspective, sensual, romantic dreamer"
DIOR,Vanilla Diorama,Unisex,"Gourmand, Sweet, Warm",Dessert-Inspired,"Vanilla, Rum, Cocoa","Playful, charming, indulgent, secretly sentimental"
DIOR,Dior Homme,Men,"Woody, Floral, Musky","Evening, Formal","Lavender, Iris, Leather","Refined, confident, appreciates classic elegance"
DIOR,Dior Addict 2,Women,"Citrus, Floral, Fresh","Daytime, Spring","Mandarin, Jasmine, Vanilla","Vibrant, youthful, modern, energetic"
DIOR,Dune Pour Homme,Men,"Woody, Aromatic, Fresh","Casual, Daytime","Lemon, Sage, Cedar","Adventurous, serene, nature-loving"
DIOR,La Colle Noire,Women,"Floral, Musky, Romantic","Evening, Special","May Rose, Peony, White Musk","Romantic, elegant, appreciates timeless beauty"
DIOR,Diorissimo,Women,"Floral, Fresh, Delicate","Spring, Daytime","Lily of the Valley, Ylang-Ylang, Jasmine","Graceful, classic, enjoys simplicity and nature"
DIOR,Poison EDT,Women,"Spicy, Sweet, Bold","Night Out, Winter","Plum, Jasmine, Vanilla","Confident, daring, enjoys making a statement"
DIOR,Sauvage Parfum,Men,"Amber, Woody, Fresh","Evening, Formal","Bergamot, Sandalwood, Vanilla","Sophisticated, strong-willed, modern gentleman"
DIOR,Miss Dior Rose N  Roses,Women,"Floral, Fresh, Rosy","Spring, Daytime","Grasse Rose, Bergamot, White Musk","Feminine, joyful, loves floral elegance"
DIOR,Les Escales   Portofino,Unisex,"Citrus, Fresh, Light","Summer, Travel","Bergamot, Almond Blossom, Petitgrain","Free-spirited, loves travel and lightness"
YSL,Libre Eau de Parfum,Women,"Floral, Oriental, Aromatic","Evening, Special","Lavender, Orange Blossom, Musk","Bold, confident, free-spirited, empowered"
YSL,Black Opium Eau de Parfum,Women,"Gourmand, Sweet, Warm","Night Out, Parties","Coffee, Vanilla, White Flowers","Energetic, rebellious, edgy, passionate"
YSL,Mon Paris Eau de Parfum,Women,"Fruity, Floral, Sweet","Romantic, Daily","Strawberry, Peony, Patchouli","Romantic, dreamy, youthful, playful"
YSL,Cinema Eau de Parfum,Women,"Oriental, Woody, Floral","Evening, Glamorous","Tuberose, Vanilla, Jasmine","Glamorous, feminine, sensual, timeless"
